Human,WT1,WT2,WT4,WT5,WT6,WT7,WT8,WT9_10,Mut3,Mut4,Mut5,Mut6,Mut7_8,Mut9_10
COG1,5.154316235,5.017408839,5.368444019,4.935760009,5.006542941,5.376000011,4.893690594,5.313902954,5.024813075,5.111859793,4.914788799,5.178868568,4.991412014,5.057263423
COG2,5.417607896,5.365149725,5.412928054,5.285975788,4.989318069,5.497874249,5.480647879,5.333048294,5.270231757,5.447705558,5.319219896,5.270343254,5.274508884,5.192259126
COG3,5.340916459,5.900205403,5.895945055,5.858077663,5.72670423,5.846230585,5.728568106,5.647878625,5.585644429,5.855172581,5.862139857,5.713651542,5.651637199,5.737607194
COG4,6.897660417,6.331230143,7.284090545,6.334719086,6.129683656,6.452832896,6.395942433,6.593486292,6.209409613,6.456830266,6.376621125,6.309562866,6.29811403,6.111898775
COG5,4.830617767,5.475283458,6.021731716,5.361350963,5.407568536,5.599398347,5.483238172,5.699490042,5.485173273,5.450556259,5.300200995,5.331952548,5.493121935,5.374464341
COG6,6.139518691,6.507482415,6.743059245,6.269543234,5.969625205,6.193088619,6.494671796,6.270700378,5.890285231,6.655208661,6.678597946,5.940477425,6.224818865,5.94661424
COG7,5.702815375,5.687859399,5.838186798,5.629859113,5.453967691,5.250819672,5.595234906,5.601929899,5.428364587,5.75956314,5.812296449,5.423745898,5.468713733,5.40117824
COG8,5.592788899,5.35826654,5.429786035,5.259949452,5.150142117,5.085129305,5.312168267,5.363605179,5.008817619,5.392443668,5.44768467,5.227317334,5.220651946,5.100188775
COIL,4.081230328,4.256540338,4.456031825,4.047840987,3.887904257,3.518377268,4.149251738,4.145603854,3.925516654,4.021133453,4.317565916,3.898955355,3.982049806,3.650071124
COL10A1,1.514835156,2.220945688,1.738488075,3.303658086,4.503155369,0.877115752,2.05526493,1.899426842,2.689196691,2.734263285,3.44314092,3.044562233,3.368280839,3.55050867
COL11A1,6.887376984,6.420945543,9.857170344,4.713003814,6.649642323,4.73465152,5.636156535,6.912643866,6.167451799,5.875467461,3.677360407,8.607744637,6.046456616,6.688514593
COL11A2,2.302720265,2.59341001,4.344882857,2.10228938,2.608435768,2.943658348,1.522217379,2.046449477,3.812785191,2.300920426,1.782439421,3.78848216,1.993550173,2.646433634
COL12A1,7.920191102,4.908541229,4.16863504,5.519622902,8.54133069,9.270273796,5.969308955,8.195402731,6.547074736,4.376296478,5.684487396,7.425679562,7.23692731,8.503307919
COL13A1,3.296294887,0.72589526,0.369725108,1.733400999,2.624753027,2.933818806,1.030795623,1.686396547,2.188048477,1.114611974,0.858663663,2.277643087,2.752278455,2.769047009
COL14A1,6.64704091,3.906316334,2.144640386,4.389372215,7.073271927,9.679339015,4.179381309,5.540651651,5.404110458,3.059614824,3.056621802,5.501316769,5.652624422,6.827854955
COL15A1,6.95564674,5.102249094,4.85384827,5.685234702,7.544527992,8.834898488,5.57027537,6.40655189,7.011398205,5.22772915,6.024164067,6.243701206,6.138824073,7.012016002
