gene_id,MCF7_1,MCF7_2,MCF7_3,TamR_1,TamR_2,TamR_3
NPPC,0.879705766,0.925999419,0.176322773,1.189033824,0.378511623,0.782408565
NPR1,0,0.070389328,0.028569152,0.014355293,0.028569152,0
NPR2,1.790772038,1.86393845,1.608809243,2.861955364,2.865918815,2.788685711
NPR3,0.757023247,0.815575429,0.757023247,0.839959587,0.765534746,0.516015147
NPRL2,4.612942196,4.688180359,4.621172753,4.515384461,4.618825953,4.618825953
NPRL3,4.740387932,4.95930649,4.83541884,4.980939266,4.956056652,5.046578367
NPS,0,0,0,0,0,0
NPSR1,0.056583528,0,0.176322773,0,0,0
NPSR1-AS1,0.014355293,0,0,0,0,0.042644337
NPTN,7.266411766,7.15035658,7.177319866,7.064473329,7.113637997,7.103812329
NPTX1,0.163498732,0.163498732,0.137503524,0.150559677,0.176322773,0.056583528
NPTX2,0.028569152,0,0,0,0,0.124328135
NPTXR,3.958842675,3.859969548,3.90303827,3.997292408,3.933572638,4.03562391
NPVF,0,0,0,0,0,0
NPW,0.150559677,0.298658316,0.344828497,0.070389328,0.097610797,0.111031312
NPY,0,0,0,0,0,0
NPY1R,4.028569152,3.339137385,3.462052319,0.641546029,0.263034406,0.150559677
NPY2R,0,0,0,0,0,0
NPY4R,0,0,0,0,0.042644337,0
NPY5R,0.604071324,0.263034406,0.650764559,0.042644337,0,0
NPY6R,0,0,0,0,0,0
NQO1,9.437315141,9.271859831,9.250701084,8.290894339,8.178864001,8.164203001
NQO2,5.951168129,5.772941338,5.94204526,6.171527106,5.958610712,6.07489072
NR0B1,0,0,0,0,0,0
NR0B2,0,0,0,0,0,0
NR1D1,2.508428653,2.918386234,2.56315813,2.10433666,2.301587647,2.189033824
NR1D2,4.521678952,3.859969548,3.980939266,4.570462931,4.241840184,4.20867332
NR1H2,6.535897429,6.686780635,6.58165253,6.343585483,6.498889087,6.554435365
NR1H3,3.301587647,3.50589093,3.488000771,3.626439137,3.720278465,3.910732662
NR1H4,0,0,0,0.042644337,0,0
NR1I2,0,0.111031312,0.214124805,0,0.084064265,0.042644337
NR1I3,0,0.124328135,0.485426827,0.150559677,0.084064265,0
NR2C1,3.977279923,3.878725341,4.09085343,4.169123281,4.121015401,4.06608919
NR2C2,4.262282806,4.023255352,4.020591095,4.334139179,4.10433666,4.155425432
NR2C2AP,5.966015097,6.178714641,6.094024887,6.157245867,6.324270572,6.388361768
NR2E1,0,0,0,0,0,0
NR2E3,0.411426246,0.713695815,0.432959407,0.604071324,0.263034406,0.35614381
NR2F1,0.948600847,0.82374936,0.948600847,0.422233001,0.411426246,0.263034406
NR2F1-AS1,0.650764559,0.084064265,0.111031312,0.111031312,0.367371066,0.111031312
NR2F2,7.105803772,6.947315492,6.911212202,6.035843816,5.994353437,5.888256181
NR2F2-AS1,2.163498732,2.087462841,1.169925001,1.432959407,0.963474124,0.839959587
NR2F6,6.489286023,5.995936704,6.213736096,6.563310692,6.176721693,6.066950244
NR3C1,5.293149737,4.95373085,5.063502942,5.473462236,5.150153455,5.183089461
NR3C2,0.545968369,0.432959407,0.454175893,0.275007047,0.23878686,0.475084883
NR4A1,4.361768359,4.5987225,4.408711861,4.915042791,5.103917211,5.029011087
NR4A2,3.053111336,2.99095486,2.957914599,4.08491466,3.947666157,4.081510068
NR4A3,1.263034406,0.97819563,1.117695043,1.169925001,1.097610797,1.10433666
NR5A1,0.028569152,0.137503524,0.042644337,0.028569152,0,0
NR5A2,0.790772038,0.622930351,0.722466024,0.23878686,0.298658316,0.263034406
NR6A1,1.485426827,1.384049807,1.201633861,1.14404637,1.344828497,1.150559677
NRADDP,0.367371066,0.298658316,0.847996907,0.516015147,0.422233001,0.575312331
NRAP,0.042644337,0.056583528,0,0.250961574,0.321928095,0.321928095
