"","MCF7_rep1","MCF7_rep2","MCF7_shCtrl_rep1","MCF7_shCtrl_rep2","TamR_rep1","TamR_rep2","TamR_rep3","TamR_rep4"
"RNF19A",6.65156284071477,6.68135694158661,6.24247592336405,6.26507996343311,8.14156700364405,8.12966242314054,8.41767555070038,8.35742086476341
"RNF19B",4.24557892364653,3.91293392305045,4.34582121315315,4.17941028410236,3.4962075197221,3.55815394961674,3.51039267046687,3.37152378990233
"RNF2",5.10425511245647,5.04783344910323,4.88477137305562,4.76136057124037,5.65344481842377,5.77678348644042,5.82974372017743,5.77239839227945
"RNF20",6.2950088578529,6.34200167215264,6.24363761091427,6.27400785779904,6.85689354400472,6.8188214147421,7.16205141631979,7.14137632248341
"RNF207",2.38779163080905,2.39421165191269,2.87637185909598,2.95457057967273,1.85130432332695,1.99650558076069,1.6950676670227,1.75331057526405
"RNF208",4.28091845464868,4.11631870782339,4.16634248574456,4.16302591865709,4.5910662448676,4.55226606863774,3.96186223754158,3.99757674340554
"RNF212",0,0.296367056700623,0,0,0,0.0969936745882134,0,0
"RNF212B",2.03724444316241,2.01458424654891,1.92810981962187,1.39881610707202,2.07191258080108,1.99650558076069,1.87619931910696,1.53458478227454
"RNF213",7.87578293984408,7.91642131452262,8.55891192568862,8.55919712914077,8.25711980908239,8.22997690611908,7.86878401702174,7.89191450276329
"RNF214",5.14318302055989,5.19580104622761,5.17026736972836,5.1556958774119,4.82145380436724,4.83485225376193,4.77345372749129,4.78088505532705
"RNF215",3.8152664825608,3.92019624826411,3.93854610913416,3.82405609833559,3.21286787189235,3.18061227393922,3.26164032492018,3.02040245500314
"RNF216",6.45981032010724,6.41835568577975,6.41222065066734,6.36754137203246,6.26142054267722,6.2915141817686,6.36385873871885,6.4403132471661
"RNF216-IT1",0.129716953799761,0.296367056700623,0.0854117320096367,0.0951846650560229,0.291091171894499,0.187875149804185,0,0
"RNF216P1",3.19926018195053,3.47380404808352,3.41920025437618,3.38016060132419,2.91798873283375,3.0774201870026,2.90634981457366,2.95887607337365
"RNF217",0,0.105699570434955,0.242415299225356,0.0951846650560229,0.200433510174067,0,0,0
"RNF217-AS1",0,0,0,0,0,0,0,0
"RNF219",3.15423297706284,3.09179916132022,3.41095135793044,3.53248279511212,3.87159599578849,3.78615735297738,4.04623462269953,4.21316965047095
"RNF219-AS1",0,0,0,0.0951846650560229,0.103694735842031,0,0,0.0945763299468143
"RNF220",5.54894479438491,5.58658229244226,5.60025773129325,5.67605762977708,5.62975538056602,5.70358975608831,5.75842496801977,5.78663399523614
"RNF222",0.809523302303716,0.615521961161118,0.890537693404694,0.690478926159452,0.376387245260064,0.0969936745882134,0,0.0945763299468143
"RNF223",4.2019960994252,4.28894255655456,3.62576518850383,3.4893270528534,3.24724150490841,3.74932930854094,3.13695044988087,2.93351152865264
"RNF224",1.70394086813659,1.64544750932955,1.6483123441177,2.04868885609193,1.35893494267662,1.12579706631616,0.954927999276457,0.559993523863203
"RNF225",0.460811874008967,0.615521961161118,0.166048232672891,0.628182898991922,0.376387245260064,0.430512224133745,0,0.0945763299468143
"RNF24",4.63784632519896,4.58236577910859,4.66307174404855,4.59218921301364,4.87372852651174,4.90014686912807,4.9855537707288,4.92941384862213
"RNF25",4.2384059380441,4.45814732604062,4.29293639115734,4.28916895731184,4.37491940060591,4.29041116292351,4.43607010335815,4.57074250338962
"RNF26",5.37016092605008,5.28569867744869,5.52007660310144,5.59694944466743,4.94875206073765,4.92347687274735,4.63779675130543,4.70046269954815
"RNF31",6.08513122346198,6.10127747480879,6.57519577327652,6.55501398931661,6.29192794096425,6.35540060075118,6.19785682871553,6.26584506634334
"RNF32",2.43874911978124,2.35187298152964,2.47878731933049,2.47755886601588,2.63610837720184,2.27047868461746,1.93185271490258,2.17730984978474
"RNF34",5.24690430856106,5.31904730618179,5.28077438865234,5.33945927629722,4.90636032437294,5.02864832722834,5.28971805013659,5.08149400328034
"RNF38",5.49579316241739,5.38876209369746,5.63076756070349,5.63704569278133,4.80616354130418,4.8523235972764,4.67496547570394,4.63509461493771
"RNF39",3.90859922096981,3.96301883801828,3.57498534368806,3.62311225174915,3.09198758961912,3.22420822222754,3.50122406392072,3.19064898994419
"RNF4",5.89066552563919,5.90843958304487,5.98486925141644,6.0413355334568,6.28229083747084,6.39885202185205,6.66108110384926,6.56942647923636
"RNF40",7.30823249496902,7.37067597448356,7.44319250357289,7.47781762322203,7.32420809425436,7.34409568687694,7.29665292203402,7.40224437722043
"RNF41",5.96642321231854,6.09807914317014,5.85255200584966,5.78535413239755,6.87807050591038,6.88737378854687,7.08129302836703,7.0238644501097
"RNF43",4.95471793841757,5.17470225326421,5.08728707171518,5.01671824507129,0.740449320081205,0.430512224133745,0.100561918588521,0.345972202576834
"RNF44",7.23534160611497,7.15908346748824,7.22117047536084,7.17965729109165,7.73228193131728,7.76339072154191,7.41122016304904,7.50482930259697
"RNF5",0,0,0.0854117320096367,0,0,0,0,0
"RNF5P1",2.307812975872,1.87206478322782,2.14256627047043,1.73069316090594,1.85130432332695,1.5593386805903,0,0.0945763299468143
"RNF6",6.50534272791105,6.65003163965609,6.61703187376849,6.60033812118792,6.72692215666898,6.71664132759492,7.09354625083411,7.0704246868097
"RNF7",5.56049497824915,5.56589501142878,5.61469570282582,5.67413188517228,5.86375841979606,5.89108064765636,6.02150678492543,6.06149535704319
"RNF8",4.00473910593501,4.02495984782761,4.09605018435335,3.92467408196314,4.75929570837146,4.69853638472486,5.07478452377438,4.97052267813864
"RNFT1",4.16464352856276,4.21410171031372,4.56611276226133,4.542387840699,5.94976319267744,5.90955804567529,6.43057901437041,6.35452087497772
"RNFT2",2.413495347538,2.41492398173542,3.16828177700791,3.34185560255367,2.94616206738426,3.01673246788563,1.78847428309439,1.31645834925951
"RNGTT",5.4684645132461,5.43258855197747,5.3939173515867,5.49809062199344,5.88574503414682,5.88600001301971,6.20634452496114,6.141209979141
"RNH1",6.30018519774252,6.23250046114708,6.12004740474547,6.05027177256907,6.05861294516281,6.12899567233325,5.79264735063381,5.79897595243073
"RNLS",2.84984237017709,3.16698582556418,2.91188002751973,3.07622251029016,2.68708095964623,2.94036791652841,3.03898027391163,2.79953463653414
"RNMT",6.71236534105106,6.69094189271977,6.53685619764415,6.44072768455459,6.694071996382,6.72614916697431,7.02402799320231,7.00191625391036
"RNPC3",2.83089152439889,2.74441994711302,3.05638573749449,3.07622251029016,2.73631389380615,3.16950428723435,3.35620677055935,3.35251063430849
"RNPEP",6.72396750769545,6.74408564363908,6.23431781297517,6.30544961945683,6.26422075432241,6.24067674417702,6.47105825072593,6.58986507248274
"RNPEPL1",3.64127337663099,3.5506864854725,3.81270008254428,4.09556180238731,4.69848514207505,4.55653591977718,4.19580725980333,4.11504854407133
"RNPS1",7.11125363392995,7.0407999065916,6.74886901413171,6.79188474680032,6.49985651696937,6.57650063039465,6.82712996681513,6.73548567993109
"RNR1",0.884958320537649,1.37647744711831,0.631257469206972,0.423320690739237,1.44042131239669,1.37822037263907,9.10426705042057,9.07943636968121
"RNR2",2.251919373676,2.1442817975916,0.890537693404694,0.494889458966766,1.79044634739186,2.02143194544008,12.676918353367,12.6616505445974
"RNU11",0.460811874008967,0.991468976285963,0.937236979062066,0.862689860837694,1.08258461647929,0.875393811220673,0,0
"RNU12",1.4294405745202,1.8417900093756,0.98247190977161,0.862689860837694,1.31639819208572,1.12579706631616,0,0.18333227976665
"RNU4ATAC",0.809523302303716,0.615521961161118,0.631257469206972,0.628182898991922,0.456920653790866,0.638156515242526,0,0
"RNU5D-1",0,0,0,0,0,0,0,0
"RNU5E-1",0,0,0,0,0,0,0,0
"RNU5F-1",0,0,0,0,0,0,0,0
"RNU6-2",0.358663045541559,0.464752054953458,0.740621462373367,0.184476142895448,0.605638939976352,0.273369309914827,0.900174647532571,0.686851168065641
"RNU6ATAC",0.129716953799761,0.296367056700623,0.0854117320096367,0,0.103694735842031,0.273369309914827,0,0
"RNVU1-19",0.556203912676246,1.45857555061676,0.512918067707229,0.628182898991922,0.977304279855247,0.819640705672855,0,0
"RNVU1-20",0.956644244387342,0.615521961161118,0.383997267292723,0.268561814287331,0.376387245260064,0.273369309914827,0.100561918588521,0
"RNVU1-8",0.645677848117698,1.24384486021713,0.166048232672891,0.184476142895448,0.376387245260064,0.273369309914827,0,0
"RNY4",0,0,0,0,0,0,0,0
"RNY5",0,0,0,0,0,0,0,0
"ROBO1",0.358663045541559,0.464752054953458,0.314942392960503,0.563075037232451,7.3335701154652,7.30782912956794,7.32875268117274,7.25707934849095
"ROBO2",0,0,0,0,3.7166673615795,3.84319401532827,3.49199681622881,3.5982812505567
"ROBO3",1.02493615349342,1.04559982562567,0.631257469206972,0.628182898991922,1.08258461647929,0.875393811220673,1.0076791026869,1.05937521402144
"ROBO4",0,0,0,0,0.103694735842031,0.0969936745882134,0,0
"ROCK1",6.88191215362686,6.88157474008628,7.16831850501946,7.07627028161544,7.50376031348785,7.46600044160555,7.69069604826188,7.65883515041344
"ROCK1P1",0.729925297124303,0.935227659192209,0.573300801118949,0.690478926159452,1.13247721618194,0.92907225879607,1.15526146540299,1.35518060148104
"ROCK2",6.57817528713528,6.55292401043829,6.6026173799651,6.62845658710655,8.12240446764915,8.07155033708561,8.10158730222117,8.07087560204994
"ROGDI",4.7173890367863,4.74251473646355,5.34279761698396,5.31988580621314,4.07027072614652,4.1673856477308,4.00141731036286,3.9852858482829
"ROM1",1.4294405745202,1.4181104051304,1.43708594771624,1.19902238850977,1.59076404585386,1.86497299277059,1.6950676670227,1.94319955351289
"ROMO1",5.70799602214037,5.85069838313179,5.55605608924314,5.57234565374165,5.60567045272662,5.59776700956953,4.62519128856273,4.70046269954815
"ROPN1",0,0,0,0,0,0,0,0
"ROPN1B",0.129716953799761,0,0.0854117320096367,0.0951846650560229,0.103694735842031,0,0,0.26694289759043
"ROPN1L",0.129716953799761,0.296367056700623,0.0854117320096367,0.0951846650560229,0.200433510174067,0.187875149804185,0,0.18333227976665
"ROPN1L-AS1",0,0,0,0.0951846650560229,0.103694735842031,0.0969936745882134,0,0
"ROR1",0.358663045541559,0.204180865780158,0.573300801118949,0.268561814287331,0.803407155558496,0.875393811220673,1.0076791026869,0.962382588961748
"ROR1-AS1",0,0,0,0.0951846650560229,0,0,0,0
"ROR2",0.556203912676246,0.815706821434541,1.06889702483959,1.28228838909734,0,0.187875149804185,0.100561918588521,0.0945763299468143
"RORA",2.5119617136455,2.55213748134919,2.92352449468105,3.09936865792332,3.18948852434862,3.28722732566523,3.07650301908124,2.66729998652594
"RORA-AS1",0.645677848117698,0.615521961161118,0.631257469206972,0.628182898991922,0.674618200597483,0.701222189508388,0.365988061065639,0.559993523863203
"RORA-AS2",0,0,0,0,0,0,0,0
"RORB",0,0,0,0.0951846650560229,0,0,0,0
"RORB-AS1",0,0,0,0,0,0,0,0
"RORC",1.86164291341163,2.01458424654891,3.30810050366284,3.08784200230232,0.605638939976352,0.503098739163044,0.365988061065639,0.962382588961748
"ROS1",0,0,0,0,0,0.0969936745882134,0,0.345972202576834
"RP1",0,0,0,0,0,0.0969936745882134,0,0
"RP1L1",0.645677848117698,0.991468976285963,0.166048232672891,0.494889458966766,0.200433510174067,0.35407927318435,0.282822860426277,0.0945763299468143
"RP2",3.98772894044209,4.05825606250403,4.27486836388949,4.35796075453595,3.23587438332396,3.37687709542983,3.76907597717286,3.60632934131976
"RP9",3.71547552779142,3.66749122423063,3.36044227646936,3.42665449556362,3.30277127045399,3.3277609065231,3.38639985296455,3.53222727595512
"RP9P",2.03724444316241,2.04147332632422,1.95104809062438,1.63889217809051,2.41203998630702,2.24953318065961,2.33419511596927,2.35976285363122
"RPA1",6.65156284071477,6.5966399793649,6.61971863094,6.63441132813643,6.39644785985258,6.40478475127408,6.82621242738535,6.83815147264025
"RPA2",5.13161453981171,5.00749030087703,4.70752942979525,4.97039112240327,4.81000132629716,4.61092374190476,4.97565762147313,5.14087723490677
"RPA3",4.80253459133771,4.80269339674075,4.53608649502844,4.5757790308511,4.14509703310556,3.95739102003026,4.33131917835155,4.3148960371278
"RPA4",0.358663045541559,0,0.314942392960503,0.348015394552092,0,0.0969936745882134,0,0
"RPAIN",4.69660276272185,4.77091076043133,4.8817899564659,4.84590481504664,4.73527818238691,4.62725416921867,5.00189798125354,5.2164339562726
"RPAP1",4.97643722097599,4.84528183045096,5.25565942307329,5.06454720306346,4.46042438110393,4.3407932805912,4.27863179155303,4.17038192515359
"RPAP2",4.44569132473042,4.40219333977156,4.14162939733065,4.14645334009133,4.48463783203266,4.38468022483685,4.52017463483966,4.57074250338962
