Hugo name,MCF7_1,MCF7_2,MCF7_3,MCF7_4,MCF7_13,MCF7_14,MCF7_15,MCF7_16
ITGB1,6.104588271,5.983114459,6.165204483,6.259496596,6.272713755,6.499794874,6.417709082,6.439957179
FRMPD2B,0,0.051271858,0,0,0,0.000917285,0,0
FXYD4,0,0,0,0,0,0,0,0
TRIM48,0,0,0,0,0,0,0.048828908,0
OR8K1,0,0,0,0,0,0,0,0
OR5M9,0,0,0,0,0,0,0,0
PCDH15,0.094299317,0.063804151,0.058802739,0.114672191,0.064136071,0.072082745,0.073715506,0.095274707
PPIAP26,0,0,0,0,0,0.148091989,0,0
CTF1,0.32769886,0.30300214,0.334485899,0.086008143,0.344709214,0.214648309,0.424703921,0.296933088
CWC15,5.250207447,5.223986234,5.419447878,5.267479617,5.045469182,5.147168285,5.050088071,4.963432507
FCGR1A,1.805412159,1.796103482,1.75433169,1.681854018,2.14390601,1.712151129,2.118731815,2.362304359
ARID5B,1.802784652,1.744716534,1.710684127,1.800657662,1.082654907,1.043631475,1.013869551,1.052541099
KLHL1,0,0,0,0,0,0,0.017715855,0
CDH8,2.020438195,2.185311556,2.393756652,2.012872555,2.501495196,1.784717545,2.178482007,2.031155198
DCUN1D2,3.353004225,3.236996134,3.106529231,3.403754448,3.135958357,3.076239259,3.221309478,2.944867814
TMCO3,4.20105353,4.042758138,4.137823176,4.350525535,4.212024529,4.202699807,3.999954915,4.150210333
TMEM218,3.590398421,3.597960165,3.687127893,3.456697089,3.489363101,3.351925091,3.569442483,3.553446522
TIRAP,2.232215601,1.893377744,1.993971383,2.036851438,1.345606434,1.662679483,1.838576678,1.441276303
N6AMT2,3.818625633,3.758654959,3.859114806,3.884617456,3.893410753,4.174230625,4.218633946,4.278230133
LATS2,3.043640224,3.033923343,3.160862118,3.304138638,2.535861357,2.671547011,2.619382489,2.788706589
SAP18,7.04428482,7.138148903,7.321161459,7.265549415,7.136119594,7.408244811,7.143964767,7.290240074
ADGRL3,1.059735977,1.047259175,1.657452511,1.381360905,0.871487267,1.063440815,1.050710642,0.956146632
KIAA1328,4.90906262,5.222456826,4.834296589,4.993805675,4.619536262,4.46306002,5.344466358,4.655666668
FAM124A,0.359278264,0.298342765,0.236101928,0.226374119,0.426271196,0.194419943,0.332502863,0.33788118
MIA2,0.569280116,0.618269671,0.589083678,0.408527097,0.493959816,0.556660915,1.07567638,0.468896063
CTAGE5,4.500572631,4.521333467,4.419451248,4.570711859,4.147461381,4.114925003,4.22016741,4.149186188
HNMT,1.939245387,1.781628292,2.136529376,1.700395327,1.497234239,1.242285429,1.906147897,1.910552314
