"","MM134.24hr.Vehicle.A","MM134.24hr.Vehicle.B","MM134.24hr.Vehicle.C","MM134.24hr.Vehicle.D","MM134.24hr.E2.A","MM134.24hr.E2.B","MM134.24hr.E2.C","MM134.24hr.E2.D","SUM44.24hr.Vehicle.A","SUM44.24hr.Vehicle.B","SUM44.24hr.Vehicle.C","SUM44.24hr.Vehicle.D","SUM44.24hr.E2.A","SUM44.24hr.E2.B","SUM44.24hr.E2.C","SUM44.24hr.E2.D"
"STX5",7.771506236,7.625386857,7.469719717,7.622160866,7.510457699,7.648245513,7.5191295,7.51962931,6.992045557,7.080575146,7.088566645,6.988030077,6.997727408,6.889707356,6.915906682,6.842662952
"STX6",10.32715704,10.24466316,10.19997964,10.19192175,10.0170516,10.0275691,10.11116743,10.03237686,11.22130168,11.1258423,11.19797615,11.17378505,10.7689279,10.74460495,10.71197707,10.61046219
"STX7",5.961266712,6.036530495,5.927658694,5.881907453,5.876007891,5.797836979,5.932369604,6.168492522,10.42262962,10.478814,10.47465907,10.27633645,10.2505109,10.1822871,10.14214077,10.1432299
"STX8",8.830188607,8.753943339,8.691570188,8.810451813,8.917294201,8.95762576,8.901852422,8.819149453,9.346661207,9.371847775,9.38861519,9.350952223,9.550794689,9.566886348,9.416214975,9.456091768
"STXBP1",10.21260019,10.24845504,10.20044369,10.14871286,10.12440158,10.10612999,10.07963725,10.13977772,9.689495113,9.783367405,9.819691553,9.714875366,9.848986488,9.776682583,9.791721805,9.722903948
"STXBP2",7.88246973,7.896835437,7.715186283,7.824935819,8.023860724,7.971653845,7.924520731,7.971430663,7.542881482,7.580161259,7.493080501,7.512485069,7.61529064,7.679722571,7.60238817,7.511153032
"STXBP3",9.971489122,9.878080332,10.01329581,10.15169294,10.0314865,10.30289969,9.882355174,10.05618951,10.66093759,10.51724805,10.49102529,10.39028086,10.45460288,10.47456972,10.44013681,10.46392269
"STXBP5L",5.54351331,5.500857867,5.551398183,5.726409963,5.63152452,5.574687469,5.604146119,5.535472964,4.631839621,4.639484851,4.690951433,4.525311715,4.364146422,4.636498178,4.392458875,4.401165402
"STXBP6",4.937326854,5.117014698,5.185533979,5.111346464,4.800830748,4.817649627,5.030772943,5.225677018,5.25153335,4.928073434,5.199798646,5.367808876,5.352612511,5.400296492,5.451914323,5.506900336
"STYK1",7.867171556,7.871180339,7.869222183,7.964301434,7.512827244,7.708357402,7.597406383,7.703334524,7.612761536,7.458927016,7.602304839,7.492305664,7.747930432,7.791681907,7.67581231,7.720945995
"STYXL1",9.970041307,10.104685,10.06614887,10.12808301,9.885713467,9.848965113,9.889112455,9.789475687,10.6369489,10.77035833,10.69811185,10.68227651,10.73234185,10.68351127,10.58456188,10.70055713
"SUB1",12.66653896,12.63399288,12.58805033,12.72730777,12.99790964,13.06779764,12.92841157,13.06561124,13.48411083,13.50355335,13.43302136,13.49865921,14.04938231,14.09139056,14.0861415,14.04152361
"SUCLA2",10.52399113,10.43909047,10.51119324,10.55976235,10.58366303,10.75450278,10.49577621,10.55951796,10.47981184,10.46924125,10.41061216,10.39287516,10.57936611,10.59987027,10.56812563,10.47651637
"SUCLG1",11.40323408,11.48291449,11.39443366,11.41036838,11.37959569,11.32014806,11.39466537,11.38312482,12.06593996,12.12313939,12.08020345,12.08586812,12.08594927,12.03038612,12.07290052,12.0190544
"SUCLG2",10.10449011,10.10092487,10.09171255,10.19742395,9.839219127,9.951454343,9.720687205,9.787912912,11.83648598,11.83104057,11.77235875,11.71292384,11.67734848,11.67014272,11.80090354,11.76630579
"SUCO",11.67583013,11.6228085,11.63700114,11.65290957,11.76631492,11.85876438,11.77332646,11.78720166,11.5512552,11.55751587,11.52405877,11.59168231,11.74960229,11.68978567,11.69188969,11.66006764
"SUGCT",5.553374439,5.40716028,5.503230076,5.400153068,5.540275645,5.622280408,5.242095057,5.419030388,5.373165778,5.425476909,5.389930787,5.378754736,5.18680919,5.254879718,5.386634992,5.492839063
"SUGP1",8.562893359,8.639615145,8.569604974,8.581102161,8.549293569,8.568521724,8.53879795,8.553063122,8.258733213,8.269886559,8.299313491,8.265879484,8.261926313,8.256717976,8.270144689,8.346046005
"SUGP2",9.37405983,9.342375077,9.38469549,9.360216602,9.474426792,9.489784308,9.511825973,9.511675391,8.180003043,8.223170301,8.281962803,8.342108353,8.342756013,8.261563881,8.381450232,8.432659224
"SULF1",6.429913992,6.482067759,6.49079549,6.419044885,6.470385131,6.365850021,6.544188821,6.540521355,6.269963213,6.045185794,6.392140041,6.107827619,6.236565049,6.138995144,6.247891616,6.325465059
"SULT1A1",9.897874475,9.907694829,9.912992879,9.917506574,9.740502465,9.718112819,9.674246653,9.696170136,10.4590015,10.47524328,10.46153217,10.50473049,10.55107923,10.55625504,10.55408884,10.57232721
"SULT1A2",8.967648053,9.023769707,8.935739734,8.98589654,8.943640804,8.95810805,8.826458978,8.917216588,9.818132405,9.832606919,9.895633436,9.961023768,9.910402824,9.875019537,9.929295675,9.963951269
"SULT1B1",5.33566969,5.606509385,5.193293664,5.533855415,5.596923036,5.276911517,5.515190281,5.598504482,5.688289608,5.72484781,5.773936312,5.634590956,5.697872794,5.816507287,5.872373438,5.902134372
"SULT1C2",3.912212318,3.556163055,3.726116716,3.794258535,3.990670124,3.960789964,3.803294998,4.39665284,3.894443354,3.763991003,3.780351059,3.871525344,4.081446265,4.09287835,3.919561297,3.967783537
