,T47.D_0h_1,T47.D_0h_2,T47.D_24h_13,T47.D_24h_14,BT.474_0h_15,BT.474_0h_16,BT.474_24h_25,BT.474_24h_26
DHFR,9.4114,9.0022,9.5912,9.5619,8.2435,8.6721,8.6501,9.1268
DHFRP3,3.3635,3.3006,3.2777,3.2832,3.2395,3.2799,3.3529,3.2809
DHODH,5.6416,5.8623,6.4504,6.4727,5.267,5.1903,5.4108,5.6872
DHPS,8.5331,8.172,9.0313,8.657,8.854,8.7861,8.6458,8.972
DHRS1,8.1685,8.116,8.2159,7.7232,9.0472,9.0533,8.7262,8.9806
DHRS11,6.0232,6.064,8.0137,7.392,7.0947,7.0954,6.9853,7.2215
DHRS12,5.9243,6.0756,6.4113,6.3121,6.6898,6.5889,6.3106,6.3894
DHRS2,5.6621,5.8824,6.3868,6.796,11.7762,11.676,12.5134,12.5014
DHRS3,7.0513,6.8766,7.1697,6.4994,6.3147,6.4113,5.639,5.5688
DHRS7,9.7446,9.1165,9.345,9.1837,10.139,10.1992,9.6818,9.9067
DHRS7B,7.2826,6.9369,8.1928,7.7421,8.0542,7.9571,7.7417,7.7918
DHRS9,5.677,5.5008,5.4113,5.5791,5.4882,5.5374,5.3693,5.2167
DHTKD1,8.4137,8.5205,9.0291,9.2649,7.5072,8.1206,8.2847,7.7617
DHX15,11.5787,11.6671,10.9299,11.2425,11.3803,11.5219,11.5364,11.5553
DHX16,8.9284,8.6014,9.2432,9.1229,8.9963,8.898,8.8883,9.0128
DHX29,9.2025,9.2034,8.3029,8.8505,8.1608,8.5385,8.298,8.2605
DHX30,7.0789,7.027,8.2915,8.048,7.5854,7.4435,7.6666,7.8893
DHX32,8.0008,7.5159,7.9772,7.7756,8.1651,8.2614,7.7715,7.9012
DHX34,5.9291,5.7993,6.2616,6.0475,6.3981,6.2501,6.3985,6.4577
DHX35,7.0408,6.4003,6.8187,6.6165,5.236,5.1953,5.0491,5.2053
