,IRJ43,IRJ44,IRJ45,IRJ49,IRJ50,IRJ51
DHFR,5.327990822,5.356233167,5.197654747,5.818049207,5.998559182,5.929996393
TELO2,5.280522734,5.457307866,5.386078023,5.878172219,5.652013016,5.738423019
TRAK2,4.405841123,4.463356961,4.214595774,4.169677712,4.398300538,4.305362976
HPRT1,5.383694188,5.46659567,5.316471466,6.0674324,6.183731171,6.128516981
POLR2D,5.042220799,4.972974491,4.892735534,5.23532788,5.309552343,5.20103886
OR10A6,0,0,0,0,0,0
SLC22A24,0,0,0,0,0,0
LRFN3,3.015780306,3.092145025,3.068633326,3.091313034,3.021700856,3.182039666
SYNE2,4.367669326,4.397773329,4.710961848,5.545259467,5.119829014,5.310577831
TRAPPC6B,4.418933867,4.752330126,4.408390851,4.485081239,4.343337404,4.153442628
NDUFA2,6.89016315,6.823138088,6.862615052,6.67992465,6.88316159,6.828089339
SLC26A11,4.64481837,4.437383129,4.589020608,4.332957823,4.124871758,4.336071733
WDR45,6.325647606,6.049585074,6.443019935,6.274769664,5.993888158,6.211472895
POTEE,0.999549366,1.036726413,1.044949668,0.755471577,0.747866034,0.984529946
SPTBN4,0.625084518,0.839113636,0.836567431,0.959020136,1.010913975,1.151742127
FSIP1,0.313673541,0.42944567,0.385438477,0.781400073,6.30250798,5.978930849
CHI3L1,0,0,0.114312081,0.117016631,0.109361827,0
ADRA2B,0.514041562,0.444670239,0.620459958,0.88243043,0.665320495,0.754218878
CAMK2N2,3.118046767,3.205841377,3.219872811,3.44864356,3.384183597,3.572446681
SLCO2B1,0.191207821,0,0.027956925,0.056324392,0.026684096,0.998791478
SLC8A3,0.109902485,0.040805925,0.108787602,0.034045035,0.047020883,0.094651341
SLC44A3,1.609925542,1.212765145,1.147036432,1.627731144,1.120698514,1.12347916
POU3F1,0.158265628,0.071666253,0.076080853,0.12241527,0.141859058,0.075124204
BEX2,4.059676196,4.080513498,4.186741833,4.08766192,4.222230012,4.226747311
SMC6,3.730555647,3.903121485,3.870952575,4.057343853,4.230819688,3.934067582
IGFBP6,1.33936122,1.10386824,1.133992553,1.979317688,1.92812115,2.279528306
SDCCAG8,3.093388737,2.869992391,3.178478631,3.114868562,3.027751123,3.008361794
GLYATL3,0,0,0,0,0,0
ISY1,5.870883825,5.982577355,5.95975275,5.945518509,6.004622006,6.168077929
ZDBF2,1.233715428,1.070659553,1.070240339,1.07460927,0.988518952,1.012740182
PCDH7,2.973838652,3.064390195,3.126882338,2.214221819,2.045453998,1.923927697
C12orf39,0,0,0,0,0,0.122728149
OR8H3,0,0,0,0,0,0
NAP1L5,0.32045807,0.297996159,0.322984801,0.296269037,0.370260969,0.38912162
TSEN15,4.986835719,4.950487841,5.050060282,5.270040809,5.48278997,5.186935736
ZDHHC19,0,0.088205589,0,0,0.140553256,0.092436252
FABP5,2.416320656,2.109253804,2.355784581,3.433944361,3.655206482,3.352854461
MFSD2B,0.189173196,0.075011204,0.089006655,0.125918583,0,0.096539437
ADAMTSL2,0,0,0,0,0,0
RNPEP,5.288989944,5.455442204,5.467112472,5.369882808,5.207182259,5.338894432
TPT1,12.23766389,12.19234645,12.182845,12.12958481,12.17089275,12.21673567
ZNF410,6.115502802,6.01923734,6.049199375,5.888423986,5.78854721,5.907565139
STOML2,6.723540528,6.752640484,6.806637888,6.921268385,7.022875592,6.954590727
UBR7,5.620080131,5.926599565,5.747264473,6.210497429,6.237570035,5.866557205
MT4,0,0,0,0,0,0
LSM14A,6.375346413,6.450507224,6.367901472,6.106808193,6.246936148,5.977378907
BMP1,3.86873961,3.978085716,4.069400056,3.72559398,3.731107874,3.722976252
LIN7B,2.818873561,2.472933741,3.13990252,2.925121356,2.818386004,3.423597263
AC069368.3,0,0.657147329,3.03E-13,0.718690713,1.92E-15,0
FBXO3,4.306248162,4.302815876,4.119936193,3.95590369,3.980676562,3.619212598
