hugo,MWV1,MWV2,MWV3,MWE1,MWE2,MWE3
SERPINB1,4.519217929,4.671808529,4.688291718,4.072732662,4.138060821,4.277272148
SPAST,3.452672522,3.474293908,3.586576094,3.597011448,3.541585264,3.639651248
OSBPL5,3.226047993,3.248233029,3.393307994,3.129034572,3.073271374,3.282550368
AQR,3.52672927,3.469667602,3.439169781,3.701085679,3.835684615,3.626809284
FHL1,4.925718445,4.904879954,5.034507668,4.997735627,4.980038745,4.992456164
RTFDC1,7.629897566,7.674645807,7.607101936,7.611532551,7.6292788,7.646998245
NLRP2,0.839413839,0.935952481,0.851560207,1.409073712,1.551422599,0.884562757
SLC45A4,3.76439892,3.722187514,3.693983661,3.528271122,3.601720997,3.595757017
RNF10,6.95809258,6.895628548,6.718864153,6.766798407,6.827473498,6.784140188
ZNF839,3.195845683,3.302646088,3.066513117,3.591204061,3.567139937,3.452754652
ZDHHC6,4.446248752,4.505565969,4.313134307,4.65828193,4.577043857,4.575561513
RNH1,6.617639675,6.64972758,6.613335508,6.61657103,6.628259243,6.590549912
NDUFS1,5.369525007,5.290212422,5.350981742,5.291635603,5.314635989,5.340891573
RB1CC1,4.387679336,4.620300189,4.516403702,4.445768874,4.416606096,4.354579738
ERP44,3.989901944,3.97095486,3.826538318,3.834215672,3.91035851,3.827778385
ALAS1,4.365353027,4.379534048,4.257043063,4.078669604,4.173545467,4.185079428
BIRC3,1.850861417,1.861857329,1.969814319,2.114503958,2.052827289,2.222157861
AKAP11,3.961123206,3.936628517,3.953823954,3.958304464,4.009902499,3.983066563
GLRX2,5.48969186,5.42155604,5.295690005,5.360713424,5.356708337,5.369129861
SNAPC1,2.68524049,2.637946365,2.708855997,2.811988828,2.753895442,2.75680768
DERA,3.553432464,3.564732396,3.410540832,3.614905213,3.707870957,3.783779417
STRAP,7.392670462,7.33901346,7.36659957,7.49370288,7.541686106,7.506213524
ABCC2,1.048095956,1.04030682,1.345883437,1.580358737,0.834793722,1.154931171
DEF6,1.246723652,1.402227189,1.307214582,1.356444716,1.593273446,1.369463692
PLEKHO1,4.852304478,4.932963755,5.065407586,4.905485063,4.810150833,4.987527067
GCLM,4.026973526,4.018002055,3.987460944,3.471746738,3.852561219,3.854212075
UBR2,3.410962041,3.450393474,3.451526722,3.427176384,3.500856752,3.474579462
EHD2,4.941824427,4.881794006,4.88798876,4.450531583,4.472076935,4.48023151
DEPDC1,1.956710922,1.831676628,1.865977195,1.952097571,2.077944723,2.035248408
CCDC28A,2.656933346,2.806524515,2.583220136,2.624181393,2.567728693,2.546012351
RRAGD,1.948982027,1.770861176,1.439961898,1.583768417,1.415309782,2.032100843
HSF2,2.785650982,2.998220782,2.891584446,3.180053949,3.022870227,3.028251052
