,TWV1,TWV2,TWV3,TWE241,TWE242,TWE243
CST3,6.927892722,6.541543781,6.583634157,6.63660807,6.954806277,6.749215032
CST4,0.144736109,0.099547167,0.143430317,0,0.077966324,0.121431099
CST5,0,0,0,0,0,0
CST6,1.482323287,1.280209333,1.418164025,1.165586772,1.516128202,1.622110594
CST7,0,0.050632018,0,0,0,0
CST8,0,0,0,0,0,0
CST9,0,0,0,0.040198863,0.077966324,0.04162307
CST9L,0,0,0,0,0,0
CST9LP1,0,0,0,0,0,0
CST9LP2,0,0,0,0,0,0
CSTA,0.707675415,0.65213939,0.354725211,0.770946427,0.959024014,0.664867491
CSTB,6.58881932,6.207533074,6.32799162,6.212994981,6.474603079,6.329349355
CSTF1,6.286063197,6.21031955,6.181241875,6.2642767,6.353447592,6.276398774
CSTF2,5.032492211,5.101205075,5.20916325,5.503387492,5.398309722,5.491677142
CSTF2T,6.859178515,7.000975904,6.937419177,6.857279258,6.942158138,6.86205783
CSTF3,5.665024901,5.516994259,5.567135995,5.784965613,5.933341946,5.659811193
CSTF3-AS1,0.144736109,0.146858073,0.097186689,0,0,0.04162307
CSTL1,0,0,0,0,0.039509781,0
CSTP1,0,0,0,0,0,0
CSTP2,0,0,0,0,0,0
CT45A1,0,0.050632018,0,0.079307934,0.077966324,0.04162307
CT45A10,0,0,0.049411558,0,0,0
CT45A11P,0,0,0,0,0.039509781,0.04162307
CT45A2,0,0,0,0,0,0
CT45A3,0.144736109,0.146858073,0.097186689,0.19064996,0.222294194,0.233430146
CT45A5,0.18992518,0.192666629,0.097186689,0.480862497,0.321790574,0.268910934
CT45A6,0,0,0,0,0,0
CT45A7,0,0,0,0,0,0
CT45A8,0,0,0,0,0,0
CT45A9,0,0,0,0,0,0
CT47A1,0,0,0,0,0,0
CT47A10,0,0,0,0,0,0
CT47A11,0,0,0,0,0,0
CT47A12,0,0,0,0,0,0
CT47A2,0,0,0,0,0,0
CT47A3,0,0,0,0,0,0
CT47A4,0,0,0,0,0,0
CT47A5,0,0,0,0,0,0
CT47A6,0,0,0,0,0,0
CT47A7,0,0,0,0,0,0
CT47A8,0,0,0,0,0,0
CT47A9,0,0,0,0,0,0
CT47B1,0,0,0,0,0,0
CT55,0.049876268,0,0,0.040198863,0.151934335,0.04162307
CT62,0.61130657,0.440617962,0.573179143,0.672078255,0.712449987,0.717179508
CT83,0,0,0,0,0,0
CTAG1A,0,0,0,0,0,0
CTAG1B,0,0,0,0,0,0
CTAG2,0,0,0,0,0,0
CTAGE1,0.049876268,0,0.143430317,0.040198863,0.077966324,0
CTAGE10P,0,0,0,0,0,0
CTAGE11P,0.049876268,0.280138344,0,0.079307934,0,0.04162307
CTAGE12P,0,0,0,0.040198863,0.039509781,0
CTAGE13P,0,0.050632018,0,0,0,0
CTAGE14P,0,0,0,0,0,0
CTAGE15,0,0,0,0,0,0
CTAGE16P,0,0,0,0,0.039509781,0
CTAGE3P,0.144736109,0,0,0,0,0
CTAGE4,0.676262318,0.893164368,0.732931009,0.672078255,0.895846024,0.691260591
CTAGE5,1.806326477,1.762622275,2.060286157,2.106314723,1.87396898,2.067140789
CTAGE6,0,0,0.188237589,0,0,0
CTAGE7P,0,0,0.049411558,0.040198863,0.077966324,0
CTAGE8,0,0,0,0,0,0
CTAGE9,0,0,0,0,0,0
CTBP1,6.823777831,6.644542022,6.728612918,6.957766449,7.025072329,7.018115099
CTBP1-AS,0.049876268,0.23706532,0.273881661,0.040198863,0.115424326,0.082078874
CTBP1-AS2,5.626508268,5.613826813,5.706498557,5.779038927,5.758658373,5.822370206
CTBP2,6.718805849,6.773545553,6.760953284,7.239027956,7.286259408,7.319822229
CTBP2P1,0.233741691,0.23706532,0.231695053,0.154482385,0.289381599,0.233430146
CTBP2P2,0,0,0,0,0,0
CTBP2P3,0,0,0,0,0,0
CTBP2P4,0.049876268,0.099547167,0,0.154482385,0.151934335,0.197054716
CTBP2P5,0,0,0,0,0,0
CTBP2P6,0,0,0.049411558,0,0,0
CTBP2P7,0.049876268,0,0,0,0,0
CTBP2P8,0,0,0,0,0,0.04162307
CTBS,3.946938265,3.987222472,4.047875669,4.143293524,4.223886755,4.184451276
CTC1,4.417311408,4.574353192,4.496185058,4.323080876,4.041317319,4.399804645
CTCF,6.346557656,6.525411664,6.44454175,6.492385965,6.439958688,6.555849909
CTCFL,0,0,0,0,0,0
CTDNEP1,6.415359498,6.194223317,6.229604127,6.271154521,6.436263041,6.36769686
CTDP1,4.014437057,3.940999102,4.062992046,4.239227333,4.282693225,4.030165964
CTDSP1,6.848649219,6.802456407,6.761416696,6.331116275,6.269227063,6.352790003
CTDSP2,7.232256726,7.485138148,7.488954996,6.923587917,6.645577813,6.93565607
CTDSPL,6.465033354,6.590490321,6.636125903,6.631683339,6.679971517,6.789091735
CTDSPL2,5.557065153,5.963478607,5.936475736,6.223943655,6.093253355,6.359491441
CTF1,4.73570658,4.492017834,4.555105442,3.02155069,3.29298179,3.025410919
CTF2P,0,0,0,0,0,0
CTGF,1.620770406,1.496537124,1.544164479,1.052214865,0.783982944,1.017558257
CTGLF11P,0.18992518,0.099547167,0.188237589,0.040198863,0.115424326,0.082078874
CTGLF12P,0,0,0,0,0.115424326,0.04162307
CTGLF9P,0.144736109,0,0.049411558,0,0,0
CTH,2.460099245,2.290814327,2.293484657,2.038475112,2.25579599,2.097060186
CTHRC1,0,0,0,0,0,0
CTHRC1P1,0,0,0,0,0,0
CTIF,3.560601816,3.940999102,3.950444252,3.78065178,3.574278826,3.84568148
CTLA4,0,0,0,0,0,0
CTNNA1,9.373892261,9.408426057,9.37167812,8.882445294,8.76759008,8.810554547
CTNNA2,0.049876268,0,0,0,0,0
CTNNA3,0.18992518,0.192666629,0.143430317,0.040198863,0.039509781,0.082078874
CTNNAL1,6.171042671,5.922435378,5.989655294,6.581488723,6.70168398,6.528206568
CTNNB1,8.45634955,8.421034417,8.399982883,8.280207741,8.250007714,8.167594347
CTNNBIP1,5.63674434,5.49316621,5.518617554,5.434363083,5.345104018,5.329960169
CTNNBL1,6.212008822,6.02253756,6.058397466,5.902068905,6.155826395,6.013600064
CTNND1,9.257990647,9.468723473,9.4597626,8.880284262,8.647771434,8.931468169
CTNND2,0.18992518,0.321962576,0.273881661,0.225932964,0.115424326,0
CTNS,4.484595266,4.414396513,4.511693284,4.694498156,4.449638556,4.665782348
CTPS1,4.22989167,4.135322172,3.992106454,5.895235981,5.916861486,5.857754495
CTPS2,6.123793964,6.195630141,6.130484687,6.38673765,6.454190562,6.361033516
CTR9,6.609235687,6.86081453,6.828853078,6.82204548,6.742657116,6.792143313
CTRB1,0,0,0,0,0,0
CTRB2,0.049876268,0,0,0.040198863,0,0
CTRC,0,0,0,0,0,0
CTRL,0.049876268,0,0,0,0,0.121431099
CTSA,9.080111705,8.906311036,8.9308318,7.87850038,8.065703058,8.006147292
CTSB,6.720731736,6.680655831,6.697469584,6.649253025,6.668991504,6.698479087
CTSC,3.927058285,3.777767408,3.828367763,5.381560139,5.537623797,5.320480247
CTSD,8.025887474,7.552566119,7.632153147,9.739582868,10.13299027,9.880133909
CTSE,0,0,0.049411558,0.040198863,0,0
CTSF,7.125456491,6.850581019,6.815526369,6.261622629,6.615663903,6.278576293
CTSG,0,0,0,0,0,0
CTSH,4.718461367,4.507959462,4.464659348,4.533086964,4.822349903,4.502116575
CTSK,1.620770406,1.762622275,1.894423732,1.30409556,1.712240166,1.689122924
CTSL,3.144744535,2.792705439,2.929814175,3.218336769,3.594315783,3.159060276
CTSL3P,0,0,0,0,0,0
CTSLP1,0,0,0,0,0,0
CTSLP2,0,0,0,0,0,0
CTSLP4,0,0,0,0,0,0
CTSLP6,0,0,0,0,0,0
CTSLP8,0,0,0,0,0,0
CTSO,6.303515927,6.597425095,6.593557881,4.915902628,4.953530766,5.061911977
CTSS,1.246024586,1.215111029,1.3408932,0.619981535,0.584733292,0.525133749
CTSV,4.657431916,4.324665834,4.43242932,3.878131205,4.202289676,3.821989592
CTSW,0,0,0,0,0,0
CTSZ,7.546168257,7.246402886,7.334016984,7.400702409,7.797697149,7.572991941
CTTN,8.255620465,8.260419334,8.270532913,8.382325228,8.326742299,8.408723022
CTTNBP2,0,0,0,0,0,0
CTTNBP2NL,4.235290697,4.696636567,4.67801449,3.935206069,3.739331832,4.09337862
CTU1,3.239134249,2.987211601,3.062090647,3.5142863,3.771952103,3.498689816
CTU2,3.910279777,3.431206234,3.508826591,3.698257887,3.930094711,3.694058016
CTXN1,5.714186914,5.182916695,5.361207058,5.570975803,5.952873163,5.640470287
CTXN2,0.18992518,0.23706532,0.314869635,0.079307934,0,0
CTXN3,0,0,0,0,0,0
CUBN,0,0,0.049411558,0.040198863,0,0
CUBNP1,0,0,0,0,0,0
CUBNP2,0,0,0,0,0,0
CUBNP3,0,0,0,0,0,0
CUEDC1,6.920370895,6.786207038,6.770653817,7.061811954,7.113927182,7.045865282
CUEDC2,6.303515927,5.815781361,5.891458208,5.703607276,6.086785223,5.81188417
CUL1,5.565662703,5.674613534,5.663508604,6.22938699,6.195718859,6.301779373
CUL1P1,0,0,0,0,0.077966324,0
CUL2,5.461253316,5.613826813,5.647552739,5.726114781,5.58679158,5.623438733
CUL3,7.318718016,7.366805807,7.313938709,7.444186913,7.491391804,7.421116077
CUL4A,6.946115983,6.968837816,7.019910948,7.258060825,7.234267286,7.272262422
CUL4AP1,0,0,0,0,0,0
CUL4B,6.618045501,6.961827415,6.875406889,6.307635649,6.313211688,6.322506095
CUL5,6.558450476,6.916050351,6.87797343,6.938619984,6.874470176,6.919002051
CUL7,6.766664303,6.766463081,6.804775651,6.288989168,6.202261662,6.362573945
CUL9,5.162869733,5.337471456,5.497631731,5.282400973,4.883336442,5.243426385
CUTA,6.860052498,6.402268805,6.500576876,6.266396447,6.522010248,6.347613785
CUTC,4.748978443,4.532660031,4.399462783,4.949272297,5.099702643,4.926829114
CUX1,6.039122418,6.388802718,6.320463518,6.1863741,5.961255261,6.359491441
CUX2,0.855233237,0.94761559,0.820926818,1.518467919,1.399503526,1.940843238
CUX2P1,0,0,0,0,0,0
CUZD1,1.202585188,1.23713846,1.104209654,1.091003875,1.22199947,1.15664744
