,IRJ7,IRJ8,IRJ9,IRJ13,IRJ14,IRJ15
NFKBIZ,1.900972127,2.709209082,1.907647602,1.944208272,2.388624898,2.39197511
C3orf80,0,0,0,0,0,0
UNC13A,0,0,0,0,0,0
CBLN1,0,0,0,0,0,0
MFSD3,5.610473691,5.313877517,5.578439403,5.82122993,5.809299703,5.776566117
TRIM74,0,0,0,0,0,0
SEC23B,6.635860508,6.440690966,6.454291042,6.547952918,6.600346279,6.540032644
AL162424.1,0,0,0,0,0,0
HIST1H3D,4.121669088,3.892301235,4.130256238,3.631460697,3.010952856,3.780967602
FAM126A,3.202252029,3.418777305,3.410326004,3.929916578,3.777129306,3.922437155
ASPSCR1,5.020077557,4.975812058,5.088464677,5.302011244,5.341324478,4.802647065
WSCD1,0,0,0,0,0,0
IL8,0,0,0,0,0,0
ZC3H10,3.577560613,3.7510532,3.585908697,3.631460697,3.444316332,3.448076373
PDRG1,5.868578128,5.668365175,5.843364543,6.335415887,6.373425723,6.301840605
ERO1L,5.295909107,5.410993215,5.253670552,5.784426538,5.390722936,5.660175697
TMOD4,0,0,0,0,0,0
NAIF1,2.351054822,1.914493786,1.907647602,1.944208272,1.935228395,1.938286912
NXPE1,0,0,0,0,0,0
CARD16,2.970231369,3.418777305,2.978181077,2.743413855,1.935228395,2.39197511
KRT84,0,0,0,0,0,0
BCL6,4.8250975,4.842885912,5.028906553,4.286417269,4.644276625,4.380419215
MEF2BNB,4.8250975,4.842885912,4.762545376,5.13665011,5.065246869,4.727513545
TARM1,0,0,0,0,0,0
PSAT1,4.753773121,4.771528768,4.68749264,5.54139853,5.615138859,5.619194376
IRAK2,0,0,0,0,0,0
PAX4,0,0,0,0,0,0
PIGU,5.483956397,5.410993215,5.354153766,5.627038009,5.484717971,5.577014816
KIAA1191,6.399286514,6.345620618,6.208032537,6.360637509,6.445326009,6.221975216
ANKRD16,2.693608557,2.709209082,2.978181077,3.021597575,3.010952856,3.448076373
CHMP7,4.515837384,4.617264909,4.608320166,4.810367039,5.003073871,4.727513545
UTP11L,4.893061216,5.037947693,4.96678345,5.248969265,5.124850851,5.294208655
CTXN3,0,0,0,0,0,0
LRAT,0,0,0,0,0,0
MAPK8IP2,0,0,0,1.944208272,1.935228395,1.27277062
PPP1R9B,4.8250975,4.771528768,4.833885993,4.735218222,4.870062173,4.802647065
TRAPPC2,4.003652778,4.139051209,4.012195449,4.17708796,3.777129306,3.780967602
SEC14L5,2.351054822,2.365894829,2.358382844,1.277468654,1.935228395,1.27277062
MGP,10.11798969,10.1040963,10.09840501,10.0793737,10.08047126,10.20720196
GTDC1,1.900972127,1.914493786,2.701313152,1.944208272,1.935228395,1.938286912
ASTN2,4.121669088,4.020945135,3.883605278,3.788392754,3.918570694,3.780967602
PFDN4,4.121669088,4.139051209,4.239382256,4.655938821,4.560414973,4.648251168
ETS1,0,0,0,0,0,0
TSC22D2,3.402076351,3.218695234,3.210373997,3.25471436,2.733088194,3.247549162
SRC,4.426926041,4.248215911,4.435612696,4.881794459,4.938100384,4.874060667
ARF1,8.872289322,8.753906192,8.790155897,8.972390234,9.08180309,8.976619333
C1orf185,0,0,0,0,0,0
CATSPERG,0,0,0,0,0,0
KIF2C,5.020077557,4.696457739,4.833885993,5.857117769,5.845182243,5.884263605
ERAL1,6.327413979,6.243840597,6.180927041,6.480527283,6.557728053,6.472611114
DNAH11,0,0,0,0,0,0
HAS2,0,0,0,0,0,0
KLF2,0,0,0,1.277468654,1.270345541,0
ELF5,7.091330201,7.124025727,7.026163824,6.525826,6.579194532,6.540032644
SAMD7,0,0,0,0,0,0
SORBS3,4.753773121,5.037947693,5.145661258,5.353172046,5.529514471,5.007084815
OR6P1,0,0,0,0,0,0
FAM180A,0,0,0,0,0,0
NEIL1,3.577560613,3.7510532,4.012195449,3.021597575,3.243845751,3.014579793
LY6G6E,0,0,0,0,0,0
IQCF6,0,0,0,0,0,0
APOL1,0,0,0,0,0,0
SPG20OS,0,0,0,0,0,0
OR5AK2,0,0,0,0,0,0
BAZ2A,5.966466727,6.190124807,5.80836868,5.54139853,5.572961801,5.294208655
MIEN1,6.48986478,6.345620618,6.454291042,6.145320822,6.190256512,6.137428167
