,t47d_01,t47d_02,t47d_03,t47d_04,t47d_17,t47d_18,t47d_19,t47d_20
ST3GAL1,3.443942092,3.48004534,3.78239808,3.920178947,2.946068303,2.668298429,3.021531251,2.870887448
MMP25,0.761475918,0.558792689,0.550549057,0.510533603,0.34583803,0.673257904,0.374089095,0.464179968
IL32,3.175350541,2.705064458,3.181768868,3.2186107,3.576570509,3.199022102,3.524414776,3.659878903
PKD1,4.21746339,3.823494625,3.936760416,4.149584553,3.652784755,3.749920365,4.217773564,4.4305596
MAPK8IP2,0.445861222,0.437366248,0.496965403,0.521499059,0.638947765,0.645336443,0.667329012,0.732655603
MED24,4.390323753,4.200504353,4.129217064,4.35158593,3.937184293,4.093272825,4.134393461,4.411277087
RHOBTB2,1.923016032,2.01396957,2.124420782,2.179339063,2.286798368,2.266717589,2.12174817,2.017006129
HEATR5B,3.791678649,3.533849865,3.773437278,3.794041497,3.443478023,3.427155595,3.425506302,3.544695568
SEC62,7.378017346,7.293269312,7.480055037,7.510059953,7.172787512,7.06786455,7.023510419,7.068445103
RPS20,10.3095673,10.10926913,10.37712375,10.32831589,10.3753653,10.38943775,10.39451629,10.38674629
CSDE1,7.568442594,7.344171609,7.646861077,7.612492574,7.495671181,7.371968265,7.579134882,7.594988875
UBE3C,4.721602335,4.398877055,4.80675711,4.853935783,4.827697102,4.837070299,4.757391343,4.855556226
REV3L,4.334482467,4.338773814,4.555908161,4.900528731,3.93910431,4.58170073,4.452173687,4.532790714
TENM1,0.746396187,0.830222867,0.561971264,0.639017248,0.89254102,0.382264404,0.903409311,0.756727848
PAX7,0.047869884,0,0,0,0,0,0,0
MASP2,0.528211225,0.520030939,0.566398234,0.513684776,0.480953728,0.368843205,0.450743042,0.444139077
IYD,0.641166809,0.822079922,0.587403398,0.705012687,0.917578404,0.589083678,0.730979859,0.735996066
FAM76A,3.458578865,3.008205393,3.070971441,3.336666151,3.144101857,2.878574297,3.199257731,3.15015183
TRAF3IP3,0.151921146,0.302589284,0.383911611,0.574405762,0.143504441,0.113008453,0.313877364,0.786408172
POMT2,3.655431976,3.804797025,4.099396206,4.299244658,4.006908369,3.826548487,4.007715783,4.32998465
VTA1,5.043095109,4.860163286,5.228884091,5.185723854,5.249608413,5.215267005,5.256652164,5.231973778
MLXIPL,2.347764856,2.087228596,2.011964295,2.267320052,1.943392523,1.415520721,1.969034418,2.182892481
BAZ1B,4.817884147,4.622854233,4.928275562,4.930183804,5.196441805,5.134976596,5.266542948,5.166100803
RANBP9,5.142053945,4.966172029,5.321397807,5.326292852,4.85593988,4.790422788,4.794291087,4.758772201
ETV7,1.312897473,1.047817548,1.327951738,0.89994512,1.695998266,1.467331657,1.597583613,1.405072008
SPRTN,3.906900214,3.819688618,4.068567635,4.098764828,4.019897581,3.966162798,4.165558254,3.912237881
METTL13,4.044874938,3.465007992,4.157383318,4.249634957,4.325904448,4.001667153,4.30288198,4.393574081
DYRK4,3.389067013,2.918777388,3.254618229,3.169341393,2.857897416,2.942308056,3.382372597,3.032883707
ZNF207,6.411355058,6.316710542,6.682306419,6.606881899,6.595091846,6.566282415,6.785995114,6.686276402
UQCRC1,6.451232546,6.099105807,6.712678312,6.616864916,6.717786077,6.479667107,6.580434959,6.793739851
STARD3NL,4.942692779,4.590182814,5.029474972,4.890315356,4.589182218,4.609205338,4.630271494,4.669933836
CD9,6.069553955,5.887637368,6.107020343,6.103077947,5.430686709,5.440952198,5.315587966,5.221706978
HHATL,0,0,0,0,0,0,0,0.445769073
NCAPD2,3.081591872,2.602057739,2.977858717,3.209036874,3.847736396,3.999098034,3.656736609,4.308288057
IFFO1,0.093851796,0.161224696,0.145009586,0.186594368,0.186570282,0.143633739,0.219819658,0.224756503
GIPR,1.27323538,1.29628119,1.538821212,1.290412607,1.456033352,1.197488002,0.64893384,1.224207014
PHF7,2.02182437,2.034846052,2.095458633,2.533638097,2.266195852,1.860740369,2.483769352,2.420512045
SEMA3G,0.076332241,0.08852943,0.143129543,0.189324865,1.193664523,1.373748424,1.468510333,1.170553238
NISCH,4.291272018,4.070423677,4.29436343,4.287952424,3.919397293,3.858170026,4.12013625,4.083936662
