,TWV1,TWV2,TWE1,TWE2,TSV1,TSV2,TSE1,TSE2,TGV1,TGV2,TGE1,TGE2
SYP,3.026631759,3.10587884,2.71789435,2.830060554,1.983078574,2.089457205,1.901283691,1.989606801,2.690148248,2.787759326,2.558445433,2.949339667
ARL4D,8.276881205,7.668051758,6.996489438,6.122562445,3.173891858,5.908125186,2.959850717,5.188807346,7.191244057,7.576237083,6.03109868,6.417057018
TRIP10,5.853813399,5.778532652,5.837373972,5.434815191,5.093528013,5.388430255,5.116800072,5.366578269,5.483475734,5.489659732,5.356839058,5.368031475
KIAA0586,5.383223623,5.304736696,5.60398503,5.665203877,5.864122057,5.818972309,5.755455156,5.941114191,5.54543778,5.534061895,5.590942887,5.483832885
TMEM229B,2.348117457,2.804039588,4.561747031,4.911785736,4.276232314,5.031306162,4.88355071,5.409028319,3.720294568,3.621406659,5.515826721,5.409703628
LAMB2,8.79680423,8.931031412,8.864578768,9.102766231,8.589035696,8.271651853,8.330954808,8.43988779,8.669847171,8.307281179,8.52127179,8.433064106
PLA2G4A,2.385840174,2.049532355,2.255994404,1.851347557,0.753718901,1.83609822,0.764188041,1.714934958,2.606492149,2.889414726,2.605210403,3.03861958
CPAMD8,7.293979273,6.849994213,7.446106028,7.037615832,5.799135738,6.455219966,5.45882662,6.459443862,7.532318471,7.403818123,7.457032773,7.555052392
CITED2,8.900347887,9.212075282,8.483034178,8.617841373,7.678783381,8.514352976,7.273144235,8.093042378,8.481785487,9.041438254,8.199944189,8.757597884
ZNF239,6.57351928,6.249723262,6.548642703,5.927030677,5.240793708,4.956842204,5.04866937,5.010545058,5.422406686,5.108059002,5.419675811,5.230106391
APH1B,4.82233667,5.108634587,4.304103745,4.7453917,5.476535261,5.434891221,5.534145637,5.329356873,4.699240187,4.878309741,4.466986943,4.608771501
C5orf38,5.860527572,5.654948476,6.272493142,6.311070202,5.133311145,4.435094649,5.569054207,4.254092956,5.843698036,5.578225971,6.66081243,6.444047775
CETN2,7.243504371,6.9827414,6.758766138,6.665819943,7.587080885,7.616044386,7.792646357,7.387087623,6.633393803,6.738714141,6.516583479,6.656398227
ARHGDIG,0.063451273,0.052329433,0,0.152880827,0.343108829,0.387860686,0.335603525,0.367238763,0.284694031,0.23884517,0.346766309,0.291758919
MS4A15,0.182549575,0,0.118801698,0.152880827,0.409419048,0.693233515,0.57986542,0.367238763,0.558426763,0.518146809,0.731061431,0.888851086
CXCL16,7.005780156,7.281900894,6.970558596,7.18638949,6.211751702,6.419274507,6.481855162,6.416025827,6.84301111,7.028992642,7.078785303,7.105598553
TBC1D17,5.646713676,5.84308196,5.460907883,5.810215487,5.24420428,4.955249259,5.210486839,5.013784896,5.527354463,5.3257591,5.397262271,5.211027624
SRPR,8.763159832,8.892191536,8.787087566,9.066929239,8.369518699,8.546975234,8.66292972,8.607810963,8.777999159,8.856221631,9.005467342,8.94758255
ERMP1,7.946207666,7.406173571,7.67753408,7.501151614,7.16617619,6.972071655,7.020460583,6.957780332,7.249283201,7.242677318,7.171434751,7.101837013
KDM1A,6.409222703,6.546776984,6.485783516,6.527566332,6.664539741,6.745681373,6.832858892,6.791718964,6.652811936,6.61538256,6.718847739,6.728913609
DCN,2.113443969,2.371273785,1.711302737,1.866169388,1.152577922,0.565415637,1.054307653,0.69242597,0.876761632,1.12982028,0.551671953,0.923360115
PXN,8.693421597,8.87129167,8.390308887,8.490603153,8.0845745,8.201999733,7.90725868,8.11790691,8.044296306,8.194940798,7.796776648,7.908322369
KIF3C,2.214736737,2.219353657,2.176047113,2.09730557,2.499214752,2.928763641,2.543668055,2.686003365,1.765395042,1.887804196,1.284612176,1.549685742
ALDH7A1,7.892894854,8.038109361,7.723958557,7.856062906,7.018313082,7.227987779,7.19907742,7.177731723,7.711423074,7.726312388,7.620755842,7.648907222
C4orf19,8.531236732,8.760766177,8.18799122,8.375372977,7.710156491,7.960966538,7.751936009,7.83960965,8.056760693,8.299717256,7.932246602,8.157638754
SH2D3A,4.833755141,4.820696521,4.762137523,4.604444199,4.233400575,4.372021379,4.052929625,4.256830013,4.855979753,4.665532497,4.482100085,4.653140858
PRRX2,0.394775351,0.601344673,0.557855369,0.89300185,0.803886188,1.114541626,1.362571533,1.355080652,1.012956305,0.87043921,0.949771605,0.702718784
PLEKHF1,3.474641004,3.526981282,2.83532396,2.442075676,2.730798343,2.585869252,2.423601448,2.208992041,3.140305751,3.225616281,2.605210403,2.406898764
VWA2,0.292561349,0.244508708,0.330555862,0.77229643,0.87601052,1.091523566,0.812798032,1.355080652,0.558426763,0.518146809,0.512953121,0.780076405
RGS12,3.359280836,3.148570202,3.881000411,3.654048048,4.343495809,3.868503835,4.150716642,4.248603216,4.138806458,3.76970279,4.206868106,3.909835662
TRIM3,6.293251889,6.245515255,6.230232421,6.031808839,6.154297393,5.65300273,5.638122151,5.612918231,6.445759738,6.13435122,6.01646731,5.948127091
HDGFRP3,3.294644942,3.629573338,3.266962784,3.324452062,5.160039257,4.840857822,5.350836291,4.85124327,4.065511534,4.435192903,4.080168746,4.242644068
ITGA6,4.768615394,4.579027419,4.804850453,4.595577461,5.125934892,5.335533357,5.111952154,5.457421188,5.020156826,5.319267892,5.148444987,5.168504187
ACVR2B,2.793908322,2.51804291,2.91956769,2.783973142,3.951258655,3.572723234,3.464628944,3.638111772,3.435206523,3.12797177,3.355867344,3.022792441
FSIP1,1.146648383,1.3720203,1.272762468,1.743098547,2.355242391,2.274562911,2.521903551,2.186199719,1.825828508,1.887804196,2.275815575,1.883457303
ARID3A,3.042464769,3.10587884,3.125144158,3.092040385,4.066196179,3.609646114,4.022252605,3.538155396,3.415677607,2.917190377,3.398974184,3.085085136
OLFML2A,1.552569233,1.47145646,2.032091479,1.608541547,4.027133145,4.714727335,3.790079137,4.829345055,3.625726165,3.358178418,4.61600844,4.434303103
GGT5,0,0,0.118801698,0.052780958,0.273603358,0.662324937,0.267480713,0.659708513,0.101269918,0.051037286,0.255895178,0.237937441
TUBB4B,8.213171374,8.046196156,8.198778485,8.018703636,8.364565244,8.856124796,8.743109231,8.829923926,8.547888888,8.482212863,8.736116157,8.661210554
FSCN1,1.868999557,1.718152024,1.653433784,1.460131607,1.667995897,2.642396402,1.945553977,2.275285007,1.795928191,1.929315333,1.894165843,1.829891242
HUNK,5.589935437,5.373194045,5.510646567,5.304852744,4.505739911,4.584769464,4.598261604,4.534556601,5.424850889,5.443847479,5.341728757,5.345940321
SEMA6B,0.344573385,0.491921211,0.471184007,0.640562236,1.113329795,0.945124584,1.074383445,1.086302522,0.558426763,0.324311502,0.390141883,0.291758919
COL4A5,6.670953843,6.262968219,6.931020649,6.592511304,4.874811875,5.806657881,4.620619721,6.02378444,6.941038078,6.880378736,6.99697513,6.938506347
HEXIM1,8.302173232,8.12351865,7.540251351,7.177504132,6.84533552,7.123358654,6.351677787,6.853147083,7.767144795,7.987269431,7.023903508,7.08526397
ATP1A1,9.605206388,9.05893432,9.151515849,8.897929087,7.689664557,8.164406506,7.865743821,8.161282235,8.642149705,8.789810664,8.67468,8.687957765
MYRFL,6.24531855,6.126232825,5.776552461,5.490880631,5.066811173,4.947258044,4.998331551,4.62631235,4.288573439,4.346043651,4.00542969,4.056965031
STK39,3.07361885,3.396428923,3.059820228,3.623841269,4.706997831,4.119539888,4.906129362,4.215218724,3.029038248,3.180487914,3.144158584,2.932496217
KLF13,3.629418557,3.66781264,3.673450778,4.073523471,4.403701497,3.947543271,4.462033809,3.990289853,3.464013008,3.247661906,3.823584467,3.510926017
TGFB3,8.860711069,9.031497916,8.089597025,8.062998274,7.526278922,7.993731153,7.2677056,7.439827191,8.293337063,8.449298589,7.737660101,7.888536124
NFRKB,7.071878973,6.981898477,7.202209486,7.035978191,6.932126225,6.871358997,6.596054033,6.968255648,7.423473076,7.211820214,7.259953781,7.206689005
ZDHHC15,1.363838347,1.024504023,1.246907568,0.89300185,0.083606608,0.461524934,0.12075235,0.240224029,0,0,0.054939147,0
PTBP3,7.831283564,7.899917835,7.859695848,8.044588397,8.150278955,8.356918488,8.253831101,8.411765959,7.998265074,8.357563538,8.143435028,8.198058601
SYNGR3,1.086827478,1.242877211,1.193764767,1.379778893,1.654388182,1.493871649,1.79641047,1.581561779,1.602211846,1.724480231,1.718132235,1.504814043
LPPR3,1.175653666,1.26521991,1.220580849,1.759068913,2.941546787,2.314870473,3.018018229,2.208992041,3.287240918,2.568836389,3.355867344,2.703464584
ASAP3,6.659449245,6.491585221,6.690870371,6.515277227,5.812981868,6.002151433,5.609171294,6.037379049,6.600257704,6.509313682,6.480665392,6.360724977
PHEX,4.045450669,3.700972595,3.323719181,2.925135748,1.681476459,2.544092188,1.47255806,2.00271069,3.232483895,3.851155152,2.558445433,3.046468511
ZFP36L2,7.061232589,7.745087614,6.499534698,7.352173291,6.828772199,7.190566695,6.538504385,7.031158437,8.164892479,8.331674214,8.03039437,8.118150074
PANK2,4.98069029,5.001252684,5.069249756,5.152976072,4.861549295,4.960022827,4.899111418,4.982708663,5.378948871,5.472211368,5.430104069,5.429346655
ANGPTL4,5.46773584,5.519777537,4.313475961,4.190022888,3.454683113,3.937896929,3.460820988,3.319954996,4.92321713,5.229344597,3.678054626,4.315908558
DLGAP5,5.967024795,5.627184437,6.003889816,5.609037117,7.016652147,7.311911807,7.235193492,7.272068305,6.654374984,6.53026148,6.570606161,6.370919035
NPY1R,2.335320798,2.536530661,5.069249756,4.983209082,3.792600109,5.107861386,5.272625931,6.210431528,3.232483895,3.470233701,5.468552136,5.574835518
STX2,3.685953555,3.852536142,3.634097795,3.649771324,4.078985633,4.448744185,3.945306703,4.559157581,3.743977948,3.784858466,3.725393781,3.706894275
