,MCF7_P1,MCF7_P2,MCF7_P3,MCF7_FasR1,MCF7_FasR2,MCF7_FasR3
ATP5F1P5,0.22650853,0.150559677,0.275007047,0.042644337,0,0
ATP5F1P6,0,0,0,0,0,0
ATP5F1P7,0,0,0,0,0,0
ATP5G1,7.847120002,7.702103407,7.790315912,7.477272565,7.608069968,7.473218682
ATP5G1P1,0,0,0,0,0,0
ATP5G1P3,0,0,0,0,0,0.137503524
ATP5G1P4,0,0,0,0,0,0
ATP5G1P5,0,0,0,0,0,0
ATP5G1P6,0,0,0,0,0,0
ATP5G1P7,0,0,0,0,0,0
ATP5G1P8,0,0,0,0,0,0
ATP5G2,9.836366009,10.07835098,10.05235068,10.36558975,10.76085299,10.70054375
ATP5G2P1,0,0,0,0,0,0
ATP5G2P3,0,0,0,0,0,0
ATP5G2P4,0.176322773,0.321928095,0,0.097610797,0,0.124328135
ATP5G3,8.186064704,8.533057133,8.560485694,8.386897147,8.468664768,8.762880293
ATP5H,8.161182282,8.309112508,8.278310061,8.093655243,8.653203362,8.423746229
ATP5HP1,0,0,0,0,0,0
ATP5HP2,0,0,0,0,0,0.111031312
ATP5HP3,0,0,0,0,0,0
ATP5HP4,0,0,0,0.163498732,0,0
ATP5I,9.389201101,9.449870844,9.610951,8.849749117,9.511021239,9.068697678
ATP5J,6.927185358,7.195347598,7.128870759,7.388620077,7.938285792,7.86777294
ATP5J2,9.572093845,9.679057785,9.679075384,11.52806823,11.97396995,11.6938441
ATP5J2-PTCD1,3.389566812,3.590961241,3.599317794,4.844486088,3.528571319,4.685940148
ATP5J2LP,0,0,0,0,0,0
ATP5J2P3,0,0,0,0,0,0
ATP5J2P6,0,0,0,0,0,0
ATP5JP1,0,0,0,0,0,0
ATP5L,8.07580001,8.45848864,8.588677162,7.501837185,8.068563335,7.921721947
ATP5L2,0,0,0,0,0,0
ATP5LP2,0,0,0,0.176322773,0,0
ATP5LP3,0,0,0,0,0,0
ATP5LP4,0,0,0,0,0,0
ATP5LP5,0,0,0,0,0,0
ATP5LP6,0,0,0,0,0,0
ATP5LP7,0,0,0,0,0,0
ATP5O,6.9175511,7.285217246,7.219942914,7.33655119,7.752882366,7.803033252
ATP5S,4.599912842,4.605849867,4.352617299,3.701549057,3.527320608,3.925049965
ATP5SL,5.116863758,5.247927513,5.346247774,5.314696526,4.841973119,5.299757512
ATP6AP1,7.416248629,7.401476879,7.454175893,8.621685607,7.601250805,8.180804278
ATP6AP1L,1.077242999,1.510961919,1.257010618,0.286881148,0.604071324,0.189033824
ATP6AP2,5.677508242,5.385431037,5.316869805,5.951168129,5.177917792,5.368768349
ATP6C,0,0.687060688,0,0,0.22650853,0
ATP6V0A1,4.139142019,4.072963272,3.951401292,4.758622982,3.840966704,4.289834465
ATP6V0A2,4.798569004,4.403267722,4.372255648,3.301587647,2.295723025,2.498250868
ATP6V0A4,0.879705766,0.790772038,0.669026766,3.742006211,2.028569152,3.008988783
ATP6V0B,6.870611313,6.786988345,6.919935917,7.30505852,6.878847931,7.116551902
ATP6V0C,7.412104045,7.549592167,7.782080881,7.845866357,7.267254872,7.825849215
ATP6V0CP1,0,0,0,0,0,0
ATP6V0CP2,0,0,0,0,0,0
ATP6V0CP3,0,0,0,0,0,0
ATP6V0D1,6.64096791,6.766727659,7.030446439,6.059182199,4.72628629,5.849248703
ATP6V0D2,0.084064265,0.22650853,0,0,0,0
ATP6V0E1,7.911811402,8.027629592,8.016028242,7.745640714,7.508666335,7.627825677
