gene_id,MCF7_1,MCF7_2,MCF7_3,FulR_1,FulR_2,FulR_3
PDCD11,4.125981654,4.00270252,4.042644337,3.976363636,3.921245889,3.9202933
PDCD1LG2,0,0,0,0,0,0
PDCD2,6.517275693,6.316145742,6.266973892,6.155830172,5.970853654,5.960928667
PDCD2L,4.504620392,4.046141782,4.531693361,3.891419187,3.572889668,3.929790998
PDCD4,5.798050515,5.329482431,5.424922088,5.582254908,5.194953796,5.322649262
PDCD4-AS1,2.189033824,2.22342255,1.922197848,2.364572432,2.23572706,2.277984747
PDCD5,7.664127243,7.465566405,7.528649452,7.136170875,6.920769673,7.265568167
PDCD6,7.903520374,7.790381081,7.85698569,7.499845887,7.557425408,7.479941901
PDCD6IP,5.714245518,5.391630262,5.396776011,5.688739868,5.460742564,5.489607157
PDCD7,4.554588852,4.306699707,4.396433531,4.473137488,4.173926932,4.429615964
PDCL,4.021479727,3.691534165,3.880685525,3.891419187,3.566815154,3.837943242
PDCL2,0,0,0,0,0.124328135,0
PDCL3,5.980710829,5.850999395,5.962549023,5.810700154,5.827056837,5.953963599
PDCL3P4,0.669026766,1.23878686,0.97819563,1.389566812,1.443606651,0.659924558
PDDC1,4.146492307,4.068670811,4.250203656,4.14974712,4.116863758,4.057450272
PDE10A,0.275007047,0.275007047,0.189033824,0.98550043,0.722466024,0.807354922
PDE11A,0.275007047,0.028569152,0.124328135,0.124328135,0.070389328,0.23878686
PDE12,3.458119481,3.007195501,3.215678597,3.289834465,2.861955364,2.967168608
PDE1A,0.475084883,0.575312331,0.40053793,0.604071324,0.367371066,0.275007047
PDE1B,0,0,0.084064265,0.097610797,0.22650853,0
PDE1C,0,0,0,0,0,0
PDE2A,0.163498732,0.124328135,0.201633861,0.545968369,0.389566812,0.613531653
PDE3A,0,0,0,0,0,0
PDE3B,3.125981654,2.655351829,2.981852653,1.622930351,1.189033824,1.201633861
PDE4A,0.411426246,0.722466024,0.454175893,1.097610797,1.056583528,1.042644337
PDE4B,1.5360529,1.286881148,1.469885976,3.019701914,2.82984956,3.014355293
PDE4C,0.485426827,0.275007047,0.526068812,0.704871964,0.584962501,0.678071905
PDE4D,2.117695043,1.575312331,1.735522177,3.82374936,3.350497247,3.452858965
PDE4DIP,5.463687842,5.226893814,5.297925053,5.998195503,5.849749117,5.909773104
PDE5A,1.063502942,1.021479727,1.007195501,0.464668267,0.50589093,0.389566812
PDE6A,1.163498732,0.871843649,1.257010618,0.910732662,1.150559677,0.887525271
PDE6B,2.592158002,2.589763487,2.3950628,2.786596362,2.994579724,2.750606505
PDE6C,0.028569152,0,0,0,0,0
PDE6D,5.456806149,5.175524601,5.303415463,5.338424415,5.040892431,5.119771162
PDE6G,0.097610797,0.250961574,0.641546029,0.176322773,0,0.22650853
PDE6H,0,0,0,0,0,0
PDE7A,2.72900887,2.475084883,2.587364991,2.737686761,2.456806149,2.596935142
PDE7B,1.15704371,0.704871964,0.847996907,0.731183242,0.695993813,0.584962501
PDE8A,6.13873257,5.827565007,5.883132016,6.672849602,6.373822187,6.462706751
PDE8B,0.941106311,0.704871964,0.799087306,0.5360529,0.526068812,0.516015147
PDE9A,3.301587647,3.320484678,3.481557281,3.13093087,2.965322548,2.95419631
PDF,5.716442237,4.795974694,5.209453366,5.157852169,4.456806149,4.684257705
PDGFA,3.135863165,3.063502942,2.906890596,3.475084883,3.496973581,3.295723025
PDGFB,4.635754391,4.683134985,4.743084056,4.009884589,4.232660757,4.015247774
PDGFC,0.807354922,0.678071905,0.782408565,0.137503524,0.124328135,0.084064265
PDGFD,0,0,0,0,0,0
PDGFRA,0,0,0,0.014355293,0,0
PDGFRB,0.042644337,0.111031312,0,0,0,0
PDGFRL,4.477677328,4.474436043,4.548436625,3.701549057,3.745237332,3.605257263
PDHA1,6.216454865,6.309794644,6.187846909,5.336997417,5.263410059,5.202417722
PDHA2,0,0,0,0,0,0
PDHB,6.151777655,5.981624361,6.074248523,6.015247774,5.842476063,5.907371414
PDHX,4.91981677,4.646738698,4.602290585,4.882643049,4.743622676,4.578334949
PDIA2,1.438292852,1.485426827,0.97819563,0.86393845,1.117695043,1.189033824
