"","MCF7_S1","MCF7_S2","MCF7_S3","MCF7_TamR1","MCF7_TamR2","MCF7_TamR3"
"LRIT1",2.944483671,1.824971465,3.840866024,0.506906555,2.268434394,2.859770816
"LRMP",4.161242758,3.230356745,4.590961241,4.349152934,2.855989697,4.533687928
"LRP1",4.65729701,4.580688202,4.092883966,3.500802053,4.749802402,3.442147307
"LRP10",9.624459184,9.506595199,9.073814879,8.362877496,8.424544238,8.134713804
"LRP2",6.209999147,6.17254752,6.775827533,6.282495406,6.548174573,6.561173365
"LRP2BP",3.789833564,3.946075792,3.283477342,1.677169939,3.035447961,3.277984747
"LRP3",7.011618631,6.709607707,6.292100725,6.768687195,6.958541116,6.972014796
"LRP4",2.748031796,1.632733526,3.249597036,2.169604367,3.445196982,2.93319492
"LRP5",4.545041683,5.935271148,4.998556583,4.303342394,5.364957566,4.021835027
"LRP5L",1.297484916,2.74824653,2.999639281,3.248079368,1.384602458,2.340847077
"LRP6",4.437027943,5.663202279,5.445925299,5.250014115,5.560653822,5.483428857
"LRP8",6.664852569,7.061020096,7.72307385,7.830889103,7.553076299,7.783633444
"LRPAP1",9.44147518,9.331535044,8.708428677,8.649769923,8.656328323,8.601949025
"LRPPRC",7.809973869,7.756129288,7.869069412,8.31911661,8.385784765,8.236918285
"LRRC1",6.582285021,6.597039466,5.539438015,6.343940739,6.04415365,6.058641195
"LRRC14",4.178077197,3.481298942,3.511468039,4.467866353,4.436095194,4.32919537
"LRRC15",3.507160349,4.986820475,4.686556553,3.966153567,3.679648991,4.246256057
"LRRC17",3.871646546,3.598007822,3.319762428,1.327687364,1.63505783,1.838750118
"LRRC20",5.963959565,5.90014226,6.198022608,6.608173489,6.026468113,6.360153546
"LRRC23",4.517716624,3.713035895,4.809517343,4.867155163,4.600091309,5.032982417
"LRRC32",0,0,0,0,0,0
"LRRC37BP1",3.901977075,3.163820726,3.842174318,4.206018004,3.360364277,3.972416953
"LRRC40",8.697308171,7.702214251,7.955097713,7.754620312,7.702553659,8.085074053
"LRRC41",7.392635124,7.309749178,7.266093131,7.548613868,7.245742835,7.07451614
"LRRC42",6.598290758,6.847545994,6.895060213,6.854033061,7.035579924,7.233437531
"LRRC47",7.951179788,8.002826265,8.200383703,8.265802549,8.264114144,8.139019197
"LRRC6",3.346389625,3.606679104,4.302392171,3.64038956,2.787641414,3.165268812
"LRRC75B",3.313826296,2.10534284,4.448636697,3.709842019,3.010958822,2.437227739
"LRRC8B",6.209570336,6.136724586,6.310540077,6.731767046,6.802102722,6.681898983
"LRRC8D",5.848272395,6.220291255,6.144556282,7.061862584,7.060241979,6.674347654
"LRRFIP1",9.59129232,9.17170473,9.163692441,9.588339861,9.553944099,9.782899952
"LRRFIP2",5.161484639,5.423510942,5.608069968,5.694545939,5.454537838,5.816190083
"LRRN2",6.425509659,6.502617024,6.385638108,6.5337035,6.351716658,6.509505834
"LRRN3",5.615622281,5.663828473,5.862253001,5.89484201,5.936520163,5.998443755
"LRRTM2",1.49978212,2.792230674,3.433092984,1.299830762,3.602884409,2.004321606
"LSAMP",1.102322191,1.797843067,2.840563942,0.989139007,2.23511432,2.79243893
"LSM1",7.886775703,8.013294755,7.982303425,7.853490466,7.856201403,7.922471421
"LSM12",8.653228446,8.71500445,8.613365893,8.734215091,8.843528535,8.775860447
"LSM14A",8.635881332,8.614731926,8.298667479,8.463291398,8.569221442,8.565121124
"LSM2",6.824029518,6.948519086,7.361496425,7.085360917,6.96443329,7.062607451
"LSM3",9.59798176,9.662915775,9.413393102,9.439394582,9.422621968,9.372096724
"LSM4",9.228154898,9.284088398,9.243307296,9.74339547,9.717568474,9.780044294
"LSM5",8.751564143,8.907245215,8.815601045,8.995786933,9.075794663,9.080297904
"LSM6",6.906253265,6.956614288,7.140880884,7.163337708,7.161494716,7.268705734
"LSM7",7.962549023,7.910252963,8.209760393,8.140236726,8.10818988,8.178097122
"LSP1",3.295429167,2.544485386,3.328692877,2.686388469,3.149909668,3.393828026
"LSR",9.071422138,8.918714191,8.861217208,8.2668568,8.073450731,8.108791017
"LSS",9.227957626,9.209290078,9.933693605,9.793655327,9.660951428,9.936640883
"LST1",3.47625206,3.356284692,3.56839699,3.840563942,4.153481099,3.270528942
"LTA",3.299391206,2.353323291,3.796390097,3.024319679,2.413594082,2.421694581
"LTA4H",8.312497278,8.509090106,8.170390797,8.4175361,8.469804595,8.392665173
"LTB",4.441881812,3.847896716,4.10844082,3.602646909,4.254442873,4.368838178
"LTB4R",4.873074932,5.058879262,4.810288852,4.390392546,3.971313624,5.32937479
