"","WS8V_1","WS8V_2","MCF7V_1","MCF7V_2","TAMRV_1","TAMRV_2"
"NT5DC1",5.33717652260908,5.23162603478098,5.75378550383528,5.78590166474943,4.92663749856484,4.62693181840508
"NT5DC2",5.67549409820161,5.82234013020853,6.03833904675831,5.65217955344301,5.60523908503901,5.64598748331923
"NT5DC3",3.39896771634194,3.41995479402379,4.21207007534823,3.99721361406271,3.80378339679089,3.63254682434007
"NT5DC4",0.12387438163368,0,0,0.0677317181515057,0,0
"NT5E",4.50443400282392,4.28693413828834,4.06645176614261,4.18267048396665,0.755681712244497,1.19546081128393
"NT5M",1.46139247468122,1.24710846017374,2.33233568220178,2.03721829131565,1.66903527750499,1.63012018585352
"NTAN1",4.39751108796278,4.5340822177919,4.40360715109641,4.04530305653995,4.48250504174845,4.53891681995827
"NTF3",0,0,0,0,0.0541482905842476,0
"NTF4",0.990031369906942,0.729139154463522,0.176578109395297,0.360608523273814,1.33904489460915,1.48002648230805
"NTHL1",4.12182969135919,4.23307365589194,4.49035723446257,4.33849876153306,3.76173399659478,4.02866437787101
"NTM",0,0,0,0,0,0
"NTMT1",4.49932997972173,4.77101752921606,4.63733882962436,4.41993824839804,4.19367802834863,4.09624557015845
"NTN1",3.87065224463601,4.23699983273432,2.44010184726694,2.83300776050536,2.86241990598493,2.55624852157166
"NTN3",0.12387438163368,0.288492052675722,0.429964077284199,0.449007575750268,0.544932222586491,0.671551786543964
"NTN4",3.78410280374545,3.73179773771844,2.71264086413087,2.522636206639,6.12208311479588,6.96695351627625
"NTN5",0.305428837201258,0.323182418518404,0.572626654234046,0.616507565809402,0.175140139656673,0.0972594425371069
"NTNG1",0,0.062850018011473,0,0.197090833108145,0,0
"NTNG2",0.129096851856189,0.0522681867367762,0.342737207957286,0.114890579411832,0.298043456589374,0.231860741185794
"NTPCR",2.56894902984377,2.73321170189604,3.21452422612727,2.89910301144125,3.2301385591333,3.13770834843342
"NTRK1",0,0.151445171255283,0,0.0573695346363082,0,0.170054588385456
"NTRK2",0.442151423714252,0,2.4168403643118,0.648865679672751,0.298043456589374,0.315088599371495
"NTRK3",0.12387438163368,0,0.429963984331451,0.449007622910165,0.20897052502908,0.274074963188725
"NTS",0,0.0522681867367762,0,0.0573695346363082,0,0
"NTSR1",1.03818211549671,0.580178381060511,1.53316554411043,1.06263500207041,1.10636481079857,1.46279900140361
"NTSR2",0,0.151445171255283,0.333881686537617,0,0.106337553747695,0.0494491605942155
"NUAK1",5.47956142200241,5.46244798065385,6.32484280156935,5.88289944250202,4.45923782004568,4.63117163974426
"NUAK2",3.63069297270763,3.32223038948203,2.85790150891394,2.98857868901651,2.25892660926313,1.89523991284951
"NUB1",5.69279573552725,5.69196383264557,5.53152239248995,5.75960345127177,6.75882317277677,6.73123803794357
"NUBP1",4.38183234205718,4.35694332740335,4.82288757682186,4.4097439303679,4.35179642017745,4.34692106056105
"NUBP2",5.69667950588996,5.88515612900548,6.10217354487902,5.90885785955556,5.47740026641317,5.77941915697942
